cd_procedimento;nm_procedimento
40314065;Doenças do gene CFTL (fibrose cística) pesquisa de uma mutação (DF508)
40314081;Hepatite B (quantitativo) PCR - pesquisa
40314090;Hepatite C (qualitativo) por PCR - pesquisa
40314103;Hepatite C (quantitativo) por PCR - pesquisa
40314111;Hepatite C - genotipagem - pesquisa
40314120;HIV - carga viral PCR - pesquisa
40314138;HIV - qualitativo por PCR - pesquisa
40314146;HIV, genotipagem - pesquisa
40314154;HPV (vírus do papiloma humano) + subtipagem quando necessário PCR - pesquisa
40314154;HPV (vírus do papiloma humano) + subtipagem quando necessário PCR - pesquisa
40314162;HTLV I / II por PCR (cada) - pesquisa
40314170;Mycobactéria PCR - pesquisa
40314197;Proteína S total + livre, dosagem
40314227;Toxoplasmose por PCR - pesquisa
40314235;X frágil por PCR - pesquisa
40314243;Chlamydia por biologia molecular - pesquisa
40314251;Citogenética de medula óssea
40314260;Amplificação de material por biologia molecular (outros agentes)
40314278;Pesquisa de outros agentes por PCR
40314286;Pesquisa de mutação de alelo específico por PCR
40314294;Resistência a agentes antivirais por biologia molecular (cada droga) - pesquisa
40314294;Resistência a agentes antivirais por biologia molecular (cada droga) - pesquisa
40314308;Quantificação de outros agentes por PCR
40314359;Epstein BARR vírus por PCR
40314413;Hepatite C quantitativo por TMA
40314430;HLA B27, fenotipagem
40314448;HPV oncoproteínas virais E6/E7, pesquisa
40314448;HPV oncoproteínas virais E6/E7, pesquisa
40314502;HIV amplificação do DNA (PCR)
40314502;HIV amplificação do DNA (PCR)
40314537;Chlamydia - PCR, amplificação de DNA
40314545;Mycobactéria amplificação de DNA (PCR)
40314561;Vírus Zika - por PCR
40316017;17-alfa-hidroxiprogesterona - pesquisa e/ou dosagem
40316025;3 alfa androstonediol glucoronídeo (3ALFDADIOL) - pesquisa e/ou dosagem
40316033;Ácido vanilmandélico (VMA) - pesquisa e/ou dosagem
40316041;Adrenocorticotrófico, hormônio (ACTH) - pesquisa e/ou dosagem
40316050;Aldosterona - pesquisa e/ou dosagem
40316068;Alfa-fetoproteína - pesquisa e/ou dosagem
40316076;Androstenediona - pesquisa e/ou dosagem
40316084;Anticorpo anti-receptor de TSH (TRAB) - pesquisa e/ou dosagem
40316092;Anticorpos antiinsulina - pesquisa e/ou dosagem
40316106;Anticorpos antitireóide (tireoglobulina) - pesquisa e/ou dosagem
40316114;Antígeno Austrália (HBSAG) - pesquisa e/ou dosagem
40316122;Antígeno carcinoembriogênico (CEA) - pesquisa e/ou dosagem
40316130;Antígeno específico prostático livre (PSA livre) - pesquisa e/ou dosagem
40316149;Antígeno específico prostático total (PSA) - pesquisa e/ou dosagem
40316157;Anti-TPO - pesquisa e/ou dosagem
40316165;Calcitonina - pesquisa e/ou dosagem
40316173;Catecolaminas - pesquisa e/ou dosagem
40316181;Composto S (11-desoxicortisol) - pesquisa e/ou dosagem
40316190;Cortisol - pesquisa e/ou dosagem
40316203;Crescimento, hormônio do (HGH) - pesquisa e/ou dosagem
40316211;Dehidroepiandrosterona (DHEA) - pesquisa e/ou dosagem
40316220;Dehidrotestosterona (DHT) - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316246;Estradiol - pesquisa e/ou dosagem
40316254;Estriol - pesquisa e/ou dosagem
40316262;Estrona - pesquisa e/ou dosagem
40316270;Ferritina - pesquisa e/ou dosagem
40316289;Folículo estimulante, hormônio (FSH) - pesquisa e/ou dosagem
40316297;Gastrina - pesquisa e/ou dosagem
40316300;Globulina de ligação de hormônios sexuais (SHBG) - pesquisa e/ou dosagem
40316319;Globulina transportadora da tiroxina (TBG) - pesquisa e/ou dosagem
40316327;Gonadotrófico coriônico, hormônio (HCG) - pesquisa e/ou dosagem
40316335;Hormônio luteinizante (LH) - pesquisa e/ou dosagem
40316343;Imunoglobulina (IGE) - pesquisa e/ou dosagem
40316351;Índice de tiroxina livre (ITL) - pesquisa e/ou dosagem
40316360;Insulina - pesquisa e/ou dosagem
40316378;Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem
40316378;Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem
40316378;Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem
40316378;Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem
40316386;Osteocalcina - pesquisa e/ou dosagem
40316394;Peptídeo C - pesquisa e/ou dosagem
40316408;Progesterona - pesquisa e/ou dosagem
40316416;Prolactina - pesquisa e/ou dosagem
40316424;PTH - pesquisa e/ou dosagem
40316432;Renina - pesquisa e/ou dosagem
40316440;Somatomedina C (IGF1) - pesquisa e/ou dosagem
40316459;Sulfato de dehidroepiandrosterona (S-DHEA) - pesquisa e/ou dosagem
40316467;T3 livre - pesquisa e/ou dosagem
40316475;T3 retenção - pesquisa e/ou dosagem
40316483;T3 reverso - pesquisa e/ou dosagem
40316491;T4 livre - pesquisa e/ou dosagem
40316505;Testosterona livre - pesquisa e/ou dosagem
40316513;Testosterona total - pesquisa e/ou dosagem
40316521;Tireoestimulante, hormônio (TSH) - pesquisa e/ou dosagem
40316530;Tireoglobulina - pesquisa e/ou dosagem
40316548;Tiroxina (T4) - pesquisa e/ou dosagem
40316556;Triiodotironina (T3) - pesquisa e/ou dosagem
40316564;Vasopressina (ADH) - pesquisa e/ou dosagem
40316572;Vitamina B12 - pesquisa e/ou dosagem
40316599;AMP cíclico nefrogênico na urina (24h)
40316602;AMP cíclico nefrogênico na urina (amostra isolada)
40316661;Aquaporina 4 (AQP4)
40316769;Deoxicorticosterona, dosagem
40316785;Dosagem de ácido hipúrico em urina
40316831;Glicose após estímulo/glucagon
40316866;Gonadotrofina coriônica - hemaglutinação ou látex
40316874;HGH estímulo com exercício e clonidina, HGH
40316955;Insulina livre
40316963;Insulina total e livre
40317080;Prova de sobrecarga de glicose para insulina
40317129;Teste com ACTH para dosagem de DHEA
40317137;Teste com cálcio para dosar calcitonina
40317145;Teste com cortrosina para 17 alfa hidroxiprogesterona
40317153;Teste com estímulo para renina após captopril
40317161;Teste de estímulo com cortrosina para11 desoxicortisol
40317170;Teste de estímulo com TRH para dosagem de GH
40317188;Teste de estímulo do GH pela insulina (4 dosagens de GH)
40317196;Teste de estímulo do GH pelo exercício (cada dosagem de GH)
40317200;Teste de estímulo do GH pelo glucagon (4 dosagens de GH)
40317226;Teste de supressão do GH pela sobrecarga de glicose (cada dosagem de GH)
40317250;Curva insulínica e glicêmica clássica
40317250;Curva insulínica e glicêmica clássica
40317269;Curva insulínica e glicêmica (2 dosagens)
40317269;Curva insulínica e glicêmica (2 dosagens)
40317277;Curva insulínica e glicêmica (3 dosagens)
40317277;Curva insulínica e glicêmica (3 dosagens)
40317285;Curva insulínica e glicêmica (4 dosagens)
40317285;Curva insulínica e glicêmica (4 dosagens)
40317293;Curva insulínica e glicêmica (5 dosagens)
40317293;Curva insulínica e glicêmica (5 dosagens)
40317374;Cortisol ritmo (2 dosagens)
40317390;Curva insulínica e glicêmica (6 dosagens)
40317390;Curva insulínica e glicêmica (6 dosagens)
40317404;Metanefrinas urinária após clonidina
40317412;Paratomônio, proteína relacionada, dosagem
40317420;Proteína ligadora do hormônio de crescimento (HGH), dosagem
40317439;Restrição hídrica, teste
40317471;Prova funcional de estímulo da prolactina após TRH sem fornecimento do medicamento (por dosagem)
40319032;Cadeia Kappa leve livre
40319040;Cadeia Kappa-Lambda leve livre
40319091;Fator X ativado
40319113;Hemácias, contagem
40319113;Hemácias, contagem
40319121;Hemácias, tempo de sobrevida das
40319130;Hemoglobina fetal, dosagem
40319148;Hemólise
40319172;Microesferócitos, pesquisa de
40319199;Neutrófilos, pesquisa de
40319229;Pesquisa hemoglobina H
40319253;Prova funcional DDAVP - Von Willebrand (1hora)
40319261;Prova funcional DDAVP - Von Willebrand (4horas)
40319270;Tempo de Lise de Euglobulina
40319288;Teste cruzado de grupos sanguíneos
40319296;Teste de estímulo DDAQVP para dosagem de cortisol e ACTH
40319296;Teste de estímulo DDAQVP para dosagem de cortisol e ACTH
40319318;Análise de multímeros para pacientes com doença de Von Willebrand
40319326;Protrombina, pesquisa de mutação
40319334;CD 52 marcador isolado
40319369;CD3, imunofenotipagem
40319377;CD34, imunofenotipagem
40319385;Ciclina D1, imunofenotipagem
40319393;Adesividade plaquetária
40319407;Tempo de coagulação ativado (TCA)
40319415;Teste de viabilidade celular, citometria de fluxo, outros materiais
40319431;Cross match plaquetário
40319440;Fator II, dosagem do inibidor
40319458;Fator VII, dosagem do inibidor
40319466;Fibrinogênio quantitativo, nefelometria
40319474;Hemoglobinopatias, neonatal, sangue periférico
40321029;Deficiência da MCAD
40321029;Deficiência da MCAD
40321096;Dosagem de ferro em tecido hepático
40321142;Efexor, dosagem
40321207;Homocistina, pesquisa de
40321223;Imipenem, dosagem
40321231;Índice de saturação de ferro
40321312;Itraconazol
40321347;Levetiracetam, dosagem
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321380;Marcadores cardíacos diagnósticos
40321410;Neurontin
40321460;Paroxetina, dosagem
40321479;Penicilina, dosagem
40321509;Porfirinas fracionadas plasmáticas
40321517;Prozac, dosagem (sangue)
40321568;Sirolimus, dosagem
40321614;Topiramato, dosagem (sangue)
40321681;Vigabatrina, dosagem
40321690;Cefalexina dosagem
40321703;Ceftriaxona dosagem
40321711;Clindamicina, dosagem
40321720;Clobazam dosagem
40321738;Clonazepan, dosagem
40321754;Clozapina, dosagem
40321762;Colinesterase com inibição de Dibucaina
40321762;Colinesterase com inibição de Dibucaina
40321770;Disopiramida, dosagem
40321789;Dissulfiram, dosagem
40321797;Doxepina, dosagem
40321800;Flunitrazepam, dosagem
40321819;Fluoxetina, dosagem
40321827;Galactocerebrosidase, dosagem
40321916;Lorazepam, dosagem
40321967;Manganes sérico, dosagem
40321975;Maprotilina, dosagem
40321983;Midazolam, dosagem
40322025;Pirimetamina, dosagem
40322041;Sulfadiazina, dosagem
40322050;Sulfametoxazol, dosagem
40322068;Sulfapiridina, dosagem
40322076;Sulfisoxazol, dosagem
40322084;Swelling test
40322114;Vancomicina, dosagem
40322157;Ácido fitânico
40322165;Ácido hialuronico
40322173;Iduronato-2 sulfatase, dosagem
40322181;N-Acetilgalactosaminidase, dosagem
40322181;N-Acetilgalactosaminidase, dosagem
40322190;N-Acetilglicosaminidase, dosagem
40322220;Pentaclorofenol, dosagem
40322246;Receptor solúvel de transferrina
40322270;Ácido cítrico (Citrato), dosagem sangue
40322289;Ácido cítrico (Citrato), dosagem esperma
40322300;Curva glicêmica clássica (5 dosagens)
40322319;Everolimus, dosagem
40322351;10,11 Epóxido carbamazepinam, soro
40322360;Alfa fetoproteína L3, líquor
40322378;Albumina, líquor
40322386;Alfa-galactosidade, dosagem plásmatica
40322386;Alfa-galactosidade, dosagem plásmatica
40322394;Alfa L-iduronase, plasma
40322408;Bicarbonato na urina, amostra isolada
40322416;Carnitina, dosagem
40322432;Cobre eritrocitário, dosagem
40322467;Índice de ácido úrico/creatinina
40322467;Índice de ácido úrico/creatinina
40322475;Índice de cálcio/creatinina
40322475;Índice de cálcio/creatinina
40322483;Índice de proteína/creatinina
40322483;Índice de proteína/creatinina
40322491;Tripsina, dosagem
40322505;Zinco eritrocitário, dosagem
40322564;Amiloidose - TTR
40323030;Acetilcolina, anticorpos ligador receptor
40323048;Acetilcolina, anticorpos modulador receptor
40323110;Antígenos de aspergillus galactomannan
40323153;C4d fragmento
40323404;Hepatite E - IgM/IgG
40323471;HLA locus C
40323480;Imunofenotipagem T e B
40323510;Lyme para Western Blot
40323510;Lyme para Western Blot
40323552;Neuropatia motora, painel
40323595;Pesquisa de adenovirus
40323595;Pesquisa de adenovirus
40323595;Pesquisa de adenovirus
40323889;ZAP-70
40323897;Anticorpos antidifteria
40323900;Anticorpos antitétano
40323919;Teste rápido para detecção de HIV em gestante
40323978;Cadeias leves livres Kappa/Lambda em urina, dosagem
40324052;Coxsackie B1-6, anticorpos IgM
40324060;Epstein BARR vírus antígeno precoce, anticorpos
40324079;HIV1/2, anticorpos (teste rápido)
40324125;Proteinase 3, anticorpo
40324176;Chikungunya, anticorpos
40324192;Antígeno NS1 do vírus da dengue, pesquisa
40324265;Cadeias leves livres Kappa/Lambda, dosagem, sangue
40324362;Hepatite E - anticorpos IgG
40324370;Hepatite E - anticorpos, IgM
40324389;HLA-DQ, teste de histocompatibilidade de alta resolução, sangue total
40324559;Dengue, anticorpos IgG, soro (teste rápido)
40324567;Dengue, anticorpos IgM, soro (teste rápido)
40324591;Vírus Zika - IgG
40324605;Vírus Zika – IgM
40401014;Transfusão (ato médico ambulatorial ou hospitalar)
40401014;Transfusão (ato médico ambulatorial ou hospitalar)
40401022;Transfusão (ato médico de acompanhamento)
40401022;Transfusão (ato médico de acompanhamento)
40402010;Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória
40402029;Material descartável (kit) e soluções para utilização de processadora automática de sangue/aférese
40402037;Sangria terapêutica
40402045;Unidade de concentrado de hemácias
40402053;Unidade de concentrado de hemácias lavadas
40402061;Unidade de concentrado de plaquetas por aférese
40402070;Unidade de concentrado de plaquetas randômicas
40402088;Unidade de crioprecipitado de fator anti-hemofílico
40402096;Unidade de plasma
40402100;Unidade de sangue total
40402118;Deleucotização de unidade de concentrado de hemácias - por unidade
40402118;Deleucotização de unidade de concentrado de hemácias - por unidade
40402126;Deleucotização de unidade de concentrado de plaquetas - até 6 unidades
40402126;Deleucotização de unidade de concentrado de plaquetas - até 6 unidades
40402134;Irradiação de componentes hemoterápicos
40402142;Deleucotização de unidade de concentrado de plaquetas - entre 7 e 12 unidades
40402142;Deleucotização de unidade de concentrado de plaquetas - entre 7 e 12 unidades
40402150;Unidade de concentrado de granulócitos
40402169;Unidade de concentrado de plaquetas (dupla centrifugação)
40403025;Anticorpos eritrocitários naturais e imunes - titulagem
40403068;Coleta de biópsia de medula óssea por agulha
40403092;Determinação de conteúdo de DNA - Citômetro de Fluxo
40403106;Eletroforese de hemoglobina por componente hemoterápico
40403122;Exsanguíneo transfusão
40403130;Fenotipagem de outros sistemas eritrocitários - por fenótipo
40403149;Fenotipagem de outros sistemas eritrocitários - por fenótipo - gel teste
40403157;Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste
40403165;Fenotipagem do sistema RH-HR (D, C, E, C, E)
40403173;Grupo sanguíneo ABO e RH - pesquisa
40403181;Grupo sanguíneo ABO e RH - gel teste - pesquisa
40403190;Identificação de anticorpos séricos irregulares antieritrocitários - método de eluição
40403203;Identificação de anticorpos séricos irregulares antieritrocitários - painel de hemácias enzimático
40403211;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias
40403220;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias tratadas por enzimas
40403238;Identificação de anticorpos séricos irregulares antieritrocitários com painel de hemácias - gel liss
40403246;Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo
40403254;Imunofenotipagem para classificação de leucemias - Citômetro de Fluxo
40403262;NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem
40403289;NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem
40403300;Operação de processadora automática de sangue em aférese
40403300;Operação de processadora automática de sangue em aférese
40403300;Operação de processadora automática de sangue em aférese
40403319;Operação de processadora automática de sangue em autotransfusão intra-operatória
40403327;Pesquisa de anticorpos séricos antieritrocitários, anti-A e/ou anti-B - gel teste
40403335;Pesquisa de anticorpos séricos antieritrocitários, anti-A e/ou anti-B
40403343;Pesquisa de anticorpos séricos irregulares antieritrocitários
40403351;Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste
40403360;Pesquisa de anticorpos séricos irregulares antieritrocitários - método de eluição
40403378;Pesquisa de anticorpos séricos irregulares antieritrocitários a frio
40403386;Pesquisa de hemoglobina S por componente hemoterápico - gel teste
40403408;Prova de compatibilidade pré-transfusional completa
40403408;Prova de compatibilidade pré-transfusional completa
40403408;Prova de compatibilidade pré-transfusional completa
40403416;Prova de compatibilidade pré-transfusional completa - gel teste
40403416;Prova de compatibilidade pré-transfusional completa - gel teste
40403416;Prova de compatibilidade pré-transfusional completa - gel teste
40403424;S. Anti-HTLV-I + HTLV-II (determinação conjunta) por componente hemoterápico
40403440;S. Chagas EIE por componente hemoterápico - pesquisa e/ou dosagem
40403467;S. Hepatite B anti-HBC por componente hemoterápico - pesquisa e/ou dosagem
40403483;S. Hepatite C anti-HCV por componente hemoterápico - pesquisa e/ou dosagem
40403505;S. HIV EIE por componente hemoterápico - pesquisa e/ou dosagem
40403521;S. Malária IFI por componente hemoterápico - pesquisa e/ou dosagem
40403548;S. Sífilis EIE por componente hemoterápico - pesquisa e/ou dosagem
40403564;S. Sífilis FTA - ABS por componente hemoterápico - pesquisa e/ou dosagem
40403580;S. Sífilis HA por componente hemoterápico - pesquisa e/ou dosagem
40403602;S. Sífilis VDRL por componente hemoterápico - pesquisa e/ou dosagem
40403629;S. Chagas HA por componente hemoterápico - pesquisa e/ou dosagem
40403645;S. Chagas IFI por componente hemoterápico - pesquisa e/ou dosagem
40403661;S. Hepatite B (HBsAg) RIE ou EIE por componente hemoterápico - pesquisa e/ou dosagem
40403688;Teste de Coombs direto
40403696;Teste de Coombs direto - gel teste
40403700;Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste
40403718;Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste
40403750;TMO - determinação de HLA transplantes de medula óssea - loci DR e DQ (alta resolução)
40403750;TMO - determinação de HLA transplantes de medula óssea - loci DR e DQ (alta resolução)
40403769;TMO - determinação de HLA para transplantes de medula óssea - loci A e B
40403769;TMO - determinação de HLA para transplantes de medula óssea - loci A e B
40403777;TMO - determinação de HLA para transplantes de medula óssea - loci DR e DQ (baixa resolução)
40403840;Transaminase pirúvica - TGP ou ALT por componente hemoterápico - pesquisa e/ou dosagem
40403890;NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem
40403920;Determinação do fator RH (D), incluindo prova para D-fraco no sangue do receptor
40403939;Doação autóloga com recuperação intra-operatória
40403947;Doação autóloga peri-operatória por hemodiluição normovolêmica
40403955;Doação autóloga pré-operatória
40403963;Exames imunohematológicos em recém-nascidos: tipificação ABO e RH, pesquisa de D fraco RH(D) e prova da antiglobulina direta
40403971;Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários
40403980;Investigação da presença de anti-A ou anti-B, em soro ou plasma de neonato, com métodos que incluam uma fase antiglobulínica
40403998;Tipificação ABO, incluindo tipagem reversa no sangue do receptor (sem tipagem reversa até 4 meses de idade)
40404072;Coleta de linfócitos de sangue periférico por aférese para tratamento de recidivas pós TCTH alogênico
40404129;PCR em tempo real para diagnóstico de EBV - pós transplante
40404404;Fenotipagem do sistema RH-HR (D, C, E, C, E) e Kell
40404536;Prova de compatibilidade para transfusão de plaquetas (MAIPA)
40501019;Cariótipo com bandas de pele, tumor e demais tecidos
40501027;Cariótipo com pesquisa de troca de cromátides irmãs
40501035;Cariótipo com técnicas de alta resolução
40501043;Cariótipo de medula (técnicas com bandas)
40501051;Cariótipo de sangue (técnicas com bandas)
40501060;Cariótipo de sangue obtido por cordocentese pré-natal
40501078;Cariótipo de sangue-pesquisa de marcadores tumorais
40501086;Cariótipo de sangue-pesquisa de sítio frágil X
40501094;Cariótipo em vilosidades coriônicas (cultivo de trofoblastos)
40501108;Cariótipo para pesquisa de instabilidade cromossômica
40501116;Cromatina X ou Y
40501116;Cromatina X ou Y
40501124;Cultura de material de aborto e obtenção de cariótipo
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501132;Cultura de tecido para ensaio enzimático e/ou extração de DNA
40501159;Fish em metáfase ou núcleo interfásico, por sonda
40501159;Fish em metáfase ou núcleo interfásico, por sonda
40501159;Fish em metáfase ou núcleo interfásico, por sonda
40501159;Fish em metáfase ou núcleo interfásico, por sonda
40501167;Fish pré-natal, por sonda
40501175;Líquido amniótico, cariótipo com bandas
40501183;Líquido amniótico, vilosidades coriônicas, subcultura para dosagens bioquímicas e/ou moleculares (adicional)
40501191;Subcultura de pele para dosagens bioquímicas e/ou moleculares (adicional)
40501191;Subcultura de pele para dosagens bioquímicas e/ou moleculares (adicional)
40501205;Estudo de alterações cromossômicas em leucemias por FISH (Fluorescence In Situ Hybridization)
40501213;Pesquisa de translocação PML/RAR-a
40501213;Pesquisa de translocação PML/RAR-a
40501213;Pesquisa de translocação PML/RAR-a
40501213;Pesquisa de translocação PML/RAR-a
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501221;Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501230;Cultura de fibroblastos (pele)
40501248;HER2 FISH para amplificação gênica em tumor de mama
40501256;HER2 CISH para amplificação gênica em tumor de mama
40501264;"Translocação PML/RARA  t(15;17) FISH em medula óssea"
40501272;"Translocação PML/RARA  t(15;17) FISH em sangue periférico"
40501280;Hibridização in situ pela prata ou cromogênica  (CISH) - Histoquímica
40501280;Hibridização in situ pela prata ou cromogênica  (CISH) - Histoquímica
40502015;Marcadores bioquímicos extras, além de BHCG, AFP e PAPP-A, para avaliação do risco fetal, por marcador, por amostra
40502040;Baterias de testes químicos de triagem em urina para erros inatos do metabolismo (mínimo de seis testes)
40502058;Determinação do risco fetal, com elaboração de laudo
40502066;Dosagem quantitativa de ácidos orgânicos, carnitina, perfil de acilcarnitina, ácidos graxos de cadeia muito longa, para o diagnóstico de erros inatos do metabolismo (perfil em uma amostra)
40502066;Dosagem quantitativa de ácidos orgânicos, carnitina, perfil de acilcarnitina, ácidos graxos de cadeia muito longa, para o diagnóstico de erros inatos do metabolismo (perfil em uma amostra)
40502066;Dosagem quantitativa de ácidos orgânicos, carnitina, perfil de acilcarnitina, ácidos graxos de cadeia muito longa, para o diagnóstico de erros inatos do metabolismo (perfil em uma amostra)
40502074;Dosagem quantitativa de aminoácidos para o diagnóstico de erros inatos do metabolismo (perfil de aminoácidos numa amostra)
40502074;Dosagem quantitativa de aminoácidos para o diagnóstico de erros inatos do metabolismo (perfil de aminoácidos numa amostra)
40502074;Dosagem quantitativa de aminoácidos para o diagnóstico de erros inatos do metabolismo (perfil de aminoácidos numa amostra)
40502082;Dosagem quantitativa de metabólitos na urina e/ou sangue para o diagnóstico de erros inatos do metabolismo (cada)
40502082;Dosagem quantitativa de metabólitos na urina e/ou sangue para o diagnóstico de erros inatos do metabolismo (cada)
40502090;Eletroforese ou cromatografia (papel ou camada delgada) para identificação de aminoácidos ou glicídios ou oligossacarídios ou sialoligossacarídios glicosaminoglicanos ou outros compostos para detecção de erros inatos do metabolismo (cada)
40502090;Eletroforese ou cromatografia (papel ou camada delgada) para identificação de aminoácidos ou glicídios ou oligossacarídios ou sialoligossacarídios glicosaminoglicanos ou outros compostos para detecção de erros inatos do metabolismo (cada)
40502090;Eletroforese ou cromatografia (papel ou camada delgada) para identificação de aminoácidos ou glicídios ou oligossacarídios ou sialoligossacarídios glicosaminoglicanos ou outros compostos para detecção de erros inatos do metabolismo (cada)
40502104;Ensaios enzimáticos em células cultivadas para diagnóstico de EIM, incluindo preparo do material, dosagem de proteína e enzima de referência (cada)
40502104;Ensaios enzimáticos em células cultivadas para diagnóstico de EIM, incluindo preparo do material, dosagem de proteína e enzima de referência (cada)
40502104;Ensaios enzimáticos em células cultivadas para diagnóstico de EIM, incluindo preparo do material, dosagem de proteína e enzima de referência (cada)
